Location,Department,VLAN,Subnet,Mask,Gateway,First IP,Last IP,Broadcast,Hosts
HQ,IT,10,192.168.1.0/27,255.255.255.224,192.168.1.1,192.168.1.1,192.168.1.30,192.168.1.31,30
HQ,HR,20,192.168.1.64/26,255.255.255.192,192.168.1.65,192.168.1.65,192.168.1.126,192.168.1.127,62
HQ,Finance,30,192.168.1.128/27,255.255.255.224,192.168.1.129,192.168.1.129,192.168.1.158,192.168.1.159,30
HQ,Management,40,192.168.1.160/28,255.255.255.240,192.168.1.161,192.168.1.161,192.168.1.174,192.168.1.175,14
HQ,Servers,50,192.168.1.176/28,255.255.255.240,192.168.1.177,192.168.1.177,192.168.1.190,192.168.1.191,14
HQ,Guest WiFi,60,192.168.1.192/27,255.255.255.224,192.168.1.193,192.168.1.193,192.168.1.222,192.168.1.223,30
Branch 1,IT,10,192.168.2.0/27,255.255.255.224,192.168.2.1,192.168.2.1,192.168.2.30,192.168.2.31,30
Branch 1,HR,20,192.168.2.64/26,255.255.255.192,192.168.2.65,192.168.2.65,192.168.2.126,192.168.2.127,62
Branch 1,Finance,30,192.168.2.128/27,255.255.255.224,192.168.2.129,192.168.2.129,192.168.2.158,192.168.2.159,30
Branch 1,Management,40,192.168.2.160/28,255.255.255.240,192.168.2.161,192.168.2.161,192.168.2.174,192.168.2.175,14
Branch 1,Servers,50,192.168.2.176/28,255.255.255.240,192.168.2.177,192.168.2.177,192.168.2.190,192.168.2.191,14
Branch 1,Guest WiFi,60,192.168.2.192/27,255.255.255.224,192.168.2.193,192.168.2.193,192.168.2.222,192.168.2.223,30
Branch 2,IT,10,192.168.3.0/27,255.255.255.224,192.168.3.1,192.168.3.1,192.168.3.30,192.168.3.31,30
Branch 2,HR,20,192.168.3.64/26,255.255.255.192,192.168.3.65,192.168.3.65,192.168.3.126,192.168.3.127,62
Branch 2,Finance,30,192.168.3.128/27,255.255.255.224,192.168.3.129,192.168.3.129,192.168.3.158,192.168.3.159,30
Branch 2,Management,40,192.168.3.160/28,255.255.255.240,192.168.3.161,192.168.3.161,192.168.3.174,192.168.3.175,14
Branch 2,Servers,50,192.168.3.176/28,255.255.255.240,192.168.3.177,192.168.3.177,192.168.3.190,192.168.3.191,14
Branch 2,Guest WiFi,60,192.168.3.192/27,255.255.255.224,192.168.3.193,192.168.3.193,192.168.3.222,192.168.3.223,30
